"filename", "language", "C++", "JSON", "XML", "CMake", "Makefile", "Markdown", "CMake Cache", "C", "YAML", "TypeScript", "comment", "blank", "total"
"/Users/jamesweigand/Documents/porcupine/Indium/CMakeLists.txt", "CMake", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/jamesweigand/Documents/porcupine/Indium/README.md", "Markdown", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"/Users/jamesweigand/Documents/porcupine/Indium/build/.cmake/api/v1/query/client-vscode/query.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/jamesweigand/Documents/porcupine/Indium/build/.cmake/api/v1/reply/cache-v2-9e5486bd5e4b1c93d1d8.json", "JSON", 0, 1275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1276
"/Users/jamesweigand/Documents/porcupine/Indium/build/.cmake/api/v1/reply/cmakeFiles-v1-be74129305af44bf31da.json", "JSON", 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 162
"/Users/jamesweigand/Documents/porcupine/Indium/build/.cmake/api/v1/reply/codemodel-v2-0254065e7b9367e49543.json", "JSON", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"/Users/jamesweigand/Documents/porcupine/Indium/build/.cmake/api/v1/reply/directory-.-Debug-f5ebdc15457944623624.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/jamesweigand/Documents/porcupine/Indium/build/.cmake/api/v1/reply/index-2025-02-01T22-58-39-0523.json", "JSON", 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 133
"/Users/jamesweigand/Documents/porcupine/Indium/build/.cmake/api/v1/reply/target-indium-Debug-6dad5786da6bc3b4dd22.json", "JSON", 0, 575, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 576
"/Users/jamesweigand/Documents/porcupine/Indium/build/.cmake/api/v1/reply/toolchains-v1-4bc8c2fbc5d26075b06b.json", "JSON", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 94
